2026-02-02 00:51:29,054 - INFO - 开始导入所有股票数据（年份: [2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]）
2026-02-02 00:51:29,138 - INFO - 发现 5112 只股票
2026-02-02 00:51:30,218 - INFO - 已缓存 0 只股票，需要导入 5112 只股票
2026-02-02 00:51:31,305 - INFO - 开始分批导入数据，共 103 批
2026-02-02 00:51:31,305 - INFO - 处理第 1/103 批: 0-50
2026-02-02 00:51:32,934 - ERROR - 处理股票 sz002779 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,949 - ERROR - 处理股票 sh688273 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,955 - ERROR - 处理股票 sz002768 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,958 - ERROR - 处理股票 sz301023 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,964 - ERROR - 处理股票 sh603931 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,982 - ERROR - 处理股票 sh603042 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:32,989 - ERROR - 处理股票 sz300422 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,012 - ERROR - 处理股票 sz301408 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,039 - ERROR - 处理股票 sz301397 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,045 - ERROR - 处理股票 sz301617 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,056 - ERROR - 处理股票 sh603218 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,062 - ERROR - 处理股票 sz300266 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,067 - ERROR - 处理股票 sh600197 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,081 - INFO - 处理第 3/103 批: 100-150
2026-02-02 00:51:33,622 - ERROR - 处理股票 sh603696 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,628 - ERROR - 处理股票 sh600513 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,628 - ERROR - 处理股票 sz002749 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,631 - ERROR - 处理股票 sz300451 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,634 - ERROR - 处理股票 sh600058 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,635 - ERROR - 处理股票 sz002577 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,637 - ERROR - 处理股票 sz300490 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,639 - ERROR - 处理股票 sz002310 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,642 - ERROR - 处理股票 sz300204 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,645 - ERROR - 处理股票 sh601006 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,651 - ERROR - 处理股票 sh600782 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,651 - ERROR - 处理股票 sh600993 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,656 - ERROR - 处理股票 sz000858 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,659 - ERROR - 处理股票 sz300607 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,690 - ERROR - 处理股票 sz301276 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,693 - ERROR - 处理股票 sh688098 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,700 - ERROR - 处理股票 sz000837 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,707 - ERROR - 处理股票 sz002084 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,735 - ERROR - 处理股票 sz301525 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,746 - ERROR - 处理股票 sz002603 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,746 - ERROR - 处理股票 sh688484 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,754 - ERROR - 处理股票 sh601890 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,755 - ERROR - 处理股票 sh600418 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,760 - ERROR - 处理股票 sh600489 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,761 - ERROR - 处理股票 sh600865 时出错: Expected file path name or file-like object, got <class 'bytes'> type
